职位,公司,规模,薪资,城市,区域,经验,学历,领域,技能,福利
环境艺术设计,郑州菜鸟广告设计,20-99人,8-13K,郑州,中原区,3-5年,本科,广告/公关/会展,"展厅,购物商场,3Ds MAX,SketchUp,独立完成效果图,不接受居家办公,党建,文化墙","节日福利,五险一金,底薪加提成,全勤奖,零食下午茶,带薪年假,交通补助,绩效奖金"
语言艺术老师,小雨滴教育,0-20人,4-5K,广州,白云区,3-5年,本科,学术/科研,"教师,主持培训,教育培训,少儿小主持",五险一金
语言艺术老师,六弦之家,100-499人,3-8K,德州,庆云县,经验不限,大专,培训/辅导机构,"销售经验,大型教育机构经验,播音主持,艺术类专业背景,艺术,坐班,语言类,小班教学（3-25人）,培训机构,线下教育,普通话发音标准,全职",
酒店|艺术设计师,永续设计,0-20人,7-10K,北京,朝阳区,3-5年,本科,工程施工,"CAD,3DMax,Sketchup,PhotoShop,酒店空间",
美术艺术老师,湖州梦响教育咨询,0-20人,5-10K,湖州,吴兴区,1-3年,本科,培训/辅导机构,"手绘,教师,艺术,陶艺教学经验,小班教学（3-25人）,培训机构,线下教育,线下授课,全职,美术,雕塑/陶艺,视觉设计,教育学专业背景,艺术类专业背景,儿童画,坐班,水彩/水粉画,学前儿童/小学生",
艺术培训校长,博睿文化传播有限公司,20-99人,6-8K,太原,小店区,3-5年,本科,培训/辅导机构,"培训机构,中学生,学前儿童/小学生,团队管理经验,大型教育机构经验,营销/管理类背景,销售经验","五险一金,补充医疗保险,定期体检"
语言艺术老师,中青爱嘉教育,0-20人,6-7K,佛山,禅城区,1-3年,大专,学术/科研,"表演教学经验,艺术相关工作经历,表演/播音主持相关专业背景,早幼教,艺考,青少年",
画师（艺术总监）,齐天恒创数据科技,20-99人,5-6K,太原,小店区,经验不限,本科,咨询,"手绘基础好,美术设计专业","带薪年假,生日福利,节日福利,年终奖,工龄奖,五险一金,保底工资,绩效奖金,全勤奖"
艺术培训校长,音偲蓓艺术培训,100-499人,15-25K,杭州,滨江区,3-5年,大专,学前教育,"招生,渠道,续费","五险一金,员工旅游,带薪年假,年终奖,节日福利,餐补"
艺术设计类,咚咚咚文化创意设计,20-99人,1-6K,西安,未央区,经验不限,本科,文化艺术/娱乐,"设计师,美术指导,设计师助理,艺术，绘画，设计,兼职,全职",
艺术培训前台,艺桐韵琴行有限公司,0-20人,2-3K,六盘水,钟山区,1-3年,学历不限,培训/辅导机构,,"加班补助,全勤奖,保底工资,底薪加提成,有无线网,餐补"
艺术机构前台,鄂州市葛店经济技...,0-20人,3-5K,鄂州,华容区,3-5年,大专,培训/辅导机构,"培训机构,线下教育,学前儿童/小学生,大型教育机构经验,排课系统经验,普通话发音标准,销售经验,富有亲和力",
艺术总监助理,兮其设计,0-20人,7-10K·13薪,杭州,余杭区,3-5年,大专,广告/公关/会展,"咨询,广告/传媒,电商,商务谈判,文件起草,人事行政,国企,民企/私企,驾驶证C1,英语可作为工作语言,有点想法,有点洁癖,有点气质","团建聚餐,零食下午茶,员工旅游,年终奖,包吃,加班补助,餐补,五险一金,生日福利,底薪加提成,节日福利"
视觉艺术兼行政,皇礼文化发展,0-20人,3-4K,昆明,五华区,经验不限,大专,培训/辅导机构,"VI设计,广告设计,海报传单设计,企业/自有品牌,CDR,PS,AI","带薪年假,员工旅游,零食下午茶,定期体检,五险一金,交通补助,餐补,全勤奖,年终奖,节日福利,教育进修奖励,加班补助"
艺术培训教师,天辅文化艺术培训,0-20人,2-5K,喀什地区,,经验不限,大专,培训/辅导机构,"全职,培训机构,线下教育,坐班,小班教学（3-25人）,学前儿童/小学生,特长兴趣类,乐器类,舞蹈类,美术类","包住,带薪年假,底薪加提成,保底工资,全勤奖"
艺术培训校长,唐山东方幼儿园,500-999人,5-8K,唐山,路北区,3-5年,大专,学前教育,"培训机构,中学生,学前儿童/小学生,教师资格证,团队管理经验,校区运营经验,营销/管理类背景,销售经验",
艺术体操教练,文武简爱,20-99人,2500-5000元/月,成都,武侯区,经验不限,本科,培训/辅导机构,"运动员等级证书,小学","节日福利,补充医疗保险,年终奖,五险一金,住房补贴,带薪年假,加班补助,股票期权,员工旅游,通讯补贴"
今日美术馆招聘店员/营业员,今日美术馆,20-99人,4-6K,北京,朝阳区,1-3年,大专,文化艺术/娱乐,"底薪加提成,餐补,五险一金,全职","定期体检,五险一金,全勤奖,带薪年假,节日福利,餐补,团建聚餐,生日福利,补充医疗保险"
艺术设计文创IP合伙人,尧尧领先,0-20人,8-10K,北京,朝阳区,经验不限,本科,文化艺术/娱乐,"插画师,平面设计,广告设计,3-5年经验,合伙人 ,弹性工作","五险一金,通讯补贴,交通补助,零食下午茶"
奢活艺术馆助理,万有科技文化,0-20人,3-5K,云浮,新兴县,1-3年,大专,文化艺术/娱乐,"线上活动,线下活动,不接受居家办公",
语言艺术教师（长期兼职）,观复美学,20-99人,1-6K,广州,白云区,经验不限,大专,培训/辅导机构,"教师,教研,主持培训,线下授课,普通话水平证书,教育培训","年终奖,晋升空间大,全勤奖,零食下午茶,带薪年假,发展空间大"
艺术展览项目实习生,浣纱艺术,0-20人,150-160元/天,北京,朝阳区,,大专,广告/公关/会展,艺术/文化展,"五险一金,定期体检,交通补助"
立邦艺术漆涂装专业导购,美美饰材,20-99人,4-8K,自贡,大安区,经验不限,中专/中技,批发/零售,"个人（To C）,不接受居家办公,面销/陌拜经验,无经验要求,网络营销经验,顾问式销售,门店/柜台销售,面销/陌拜,其他产品/服务,专业导购,网络销售,批发/零售,电话销售经验,电子商务","通讯补贴,带薪年假,节日福利,定期体检"
3D场景艺术家,凉屋游戏,100-499人,12-24K·13薪,深圳,福田区,1-3年,大专,游戏,"3ds MAX,MAYA","全勤奖,零食下午茶,定期体检,加班补助,意外险,节假日加班费,交通补助,带薪年假,绩效奖金,七险一金,活动经费,节日福利,补充医疗保险,员工旅游,五险一金,餐补"
艺术品销售顾问,南京威旺大贺艺术发展,20-99人,6-11K,南京,江宁区,1-3年,本科,文化艺术/娱乐,"个人（To C）,对企业/机构（To B）销售经验,面销/陌拜经验,其他行业,其他产品/服务,会展销售,门店/柜台销售","生日福利,节日福利,五险一金,年终奖,带薪年假,免费工装"
艺术培训学校店长,新未来广告公司,0-20人,6-10K,沧州,河间市,1-3年,学历不限,广告/公关/会展,包吃包住,
互动艺术装置设计,初拓科技,0-20人,8-12K,上海,浦东新区,经验不限,本科,仪器仪表/工业自动化,"嵌入式技术,流媒体技术,电路设计,硬件测试,智能硬件,物联网","年终奖,交通补助,股票期权,五险一金,节日福利,加班补助"
语言艺术老师（湘潭校区）,广东省智慧少年宫,500-999人,5-10K,湘潭,岳塘区,1-3年,大专,培训/辅导机构,口才老师、主持老师,"定期体检,全勤奖,五险一金,工龄奖,餐补,带薪年假,节日福利,员工旅游"
初中艺术与设计教师,厦门市华师希平双...,100-499人,10-15K·13薪,厦门,湖里区,3-5年,本科,学校/学历教育,"全职,私立学校,线下教育",
艺术管理 策展,马可颂教育科技,0-20人,5-8K,沈阳,和平区,经验不限,本科,培训/辅导机构,"一般企业,艺术/文化展,美术/设计相关学历","节日福利,绩效奖金,加班补助,底薪加提成,保底工资,五险一金,零食下午茶"
高端艺术品顾问,存真研究,0-20人,5-10K,重庆,渝北区,经验不限,高中,工艺品/收藏品,"个人（To C）,房地产销售经验,电话销售经验,网络营销经验,其他行业,其他产品/服务","全勤奖,团建聚餐,五险一金,带薪年假,节日福利,生日福利,有无线网,员工旅游,底薪加提成,保底工资,绩效奖金,年终奖"
艺术和书法教师,学之舟,100-499人,5-8K,德阳,什邡市,经验不限,学历不限,培训/辅导机构,教师资格证,"底薪加提成,保底工资,绩效奖金,定期体检,意外险,补充医疗保险"
环境艺术设计师,上德装饰,20-99人,10-11K,长治,潞州区,经验不限,大专,装修装饰,"Solidworks,3D设计,室内设计",
艺术空间场地销售,莫吉托活动策划,0-20人,12-20K,北京,朝阳区,1-3年,本科,婚庆/摄影,"个人（To C）,网络营销经验,面销/陌拜经验,酒店销售经验,其他行业,其他产品/服务,会展销售,门店/柜台销售","股票期权,年终奖,五险一金,员工旅游,带薪年假,零食下午茶"
兼职语言艺术老师,思艺教育,0-20人,3-5K,广州,天河区,3-5年,大专,培训/辅导机构,"销售经验,表演/播音主持相关专业背景,普通话一级乙等资格证,表演教学经验,普通话一级甲等资格证,兼职,不坐班,线下教育,早幼教",
活动执行（艺术团）,常州爱众文化,100-499人,4-6K,宿迁,,3-5年,大专,广告营销,"文案,团队沟通,群文团队招募","五险一金,节日福利,股票期权,带薪年假,员工旅游,零食下午茶,年终奖"
室内环境艺术设计,舜智设计,20-99人,10-15K,济南,历城区,经验不限,大专,装修装饰,"手绘,PhotoShop,CAD,主案设计师,住宅地产,装饰装修,家装设计师","员工旅游,带薪年假,定期体检,五险一金,节日福利"
艺术类老师招聘,灿耀教育咨询,0-20人,1-6K,宿州,泗县,1-3年,学历不限,培训/辅导机构,"舞蹈教练,跆拳道,美术","员工旅游,节日福利"
兼职语言艺术老师,倍佳溢洋,0-20人,2-3K,广州,天河区,经验不限,大专,培训/辅导机构,"线下教育,不坐班,早幼教,兼职",
公共艺术设计师,冠枫雕塑,20-99人,5-10K·14薪,武汉,黄陂区,1-3年,大专,工程施工,"景观软装,美陈,视觉艺术,景观雕塑,公共艺术设计,装置,雕塑,绘画","员工旅游,包吃,带薪年假,通讯补贴,年终奖,节日福利,免费班车"
角色模型艺术指导,betop,100-499人,25-50K,大连,甘井子区,10年以上,大专,文化艺术/娱乐,"不接受居家办公,薪资上不封顶,影片角色,次世代角色","五险一金,年终奖,定期体检,绩效奖金,底薪加提成,保底工资,带薪年假,工龄奖,加班补助,团建聚餐,节日福利"
UE材质艺术家/UE材质TA,北京启正文化,0-20人,30-40K,北京,朝阳区,3-5年,大专,广播/影视,UE4,"法定节假日三薪,五险一金,绩效奖金,带薪年假,定期体检,保底工资,餐补"
公共艺术设计师,佛山市禅城区艾禾...,0-20人,6-10K,佛山,禅城区,1-3年,本科,文化艺术/娱乐,"市政工程,主题公园,文化旅游景区,雕塑设计,方案设计,3ds Max,AI,Photoshop,有主创设计师经验,耐心的优先,线上兼职无需坐班",
专升本艺术设计教师,好老师教育,1000-9999人,5-10K,昆明,五华区,1-3年,本科,培训/辅导机构,"全职,培训机构,线下教育,坐班,大班教学（25人以上）,艺术类专业背景,大学/大专生,学科应试类,视觉传达专业","带薪福利假,生日福利,节日福利,团建聚餐"
管理校长、托管老师、艺术老师、特长老师,神木市行健国学艺...,1000-9999人,4-9K,榆林,神木市,经验不限,大专,培训/辅导机构,"学科应试类,小班教学（3-25人）,培训机构,线下教育,全职,教育学专业背景,大型教育机构经验,艺术类专业背景,坐班,兼职,不坐班,学前儿童/小学生,特长兴趣类",
福清*早教艺术老师,融育教育科技,20-99人,3-8K,福州,福清市,1-3年,大专,学前教育,"音乐,艺术,声乐,线下授课",
刘诗昆艺术培训学校古筝教师,新都刘诗昆艺术学校,20-99人,4-9K,成都,新都区,经验不限,本科,培训/辅导机构,"器乐,全职兼职均可,坐班,小班教学（3-25人）,培训机构,线上教育,全职",
艺术类高报规划师,陕西学雅轩教育科技,0-20人,8-12K,榆林,定边县,1-3年,本科,培训/辅导机构,"销售经验,大学/大专生,学科应试类,培训机构,线下教育,直播经验,线上教育,全职,大型教育机构经验,艺术类专业背景,坐班,互联网公司经验,中学生,留学生,一对一教学,普通话发音标准,视频、音频剪辑","加班补助,全勤奖,夜班补助,底薪加提成,绩效奖金"
艺术疗愈中心负责人（高端康养项目）,艺壤文化,20-99人,14-20K·14薪,武汉,武昌区,10年以上,本科,学术/科研,"医疗,教育","保底工资,交通补助,底薪加提成,五险一金,带薪年假,节日福利,生日福利,宿舍有空调"
杨梅红艺术教育——校长,厦门云墨即喜艺术培训,20-99人,15-30K,厦门,思明区,1-3年,大专,培训/辅导机构,"培训机构,学前儿童/小学生,团队管理经验,校区运营经验,大型教育机构经验,销售经验",
艺术工程项目经理,Vantaly,20-99人,10-13K,上海,徐汇区,3-5年,大专,装修装饰,"企业内部技术项目管理,管理相关专业,实施交付经验,团队管理经验","五险一金,年终奖,带薪年假"
酒店艺术品设计师,岳珈设计,20-99人,10-13K,上海,虹口区,1-3年,大专,建筑设计,"公共艺术设计,CAD,PhotoShop,Sketchup,设计师,商业地产",五险一金
环境艺术设计师,北京王牌建筑装饰...,20-99人,5-6K,邢台,襄都区,经验不限,学历不限,装修装饰,"设计师助理,设计师,CAD,酷家乐","团建聚餐,员工旅游"
美术，写字，艺术，老师,龙城区诚惠文化艺...,0-20人,5-6K,朝阳,龙城区,1-3年,本科,文化艺术/娱乐,"全职,兼职,培训机构,线下教育,坐班,不坐班,小班教学（3-25人）,中学生,学前儿童/小学生,特长兴趣类,口才/播音主持类,音乐剧类,美术类,艺术类专业背景,要求，认真负责",
艺术团舞蹈主播,星火天娱,100-499人,12-24K,成都,武侯区,经验不限,学历不限,社交网络与媒体,"线下办公,抖音,娱乐才艺,全职,韩舞,拉丁,现代舞","带薪年假,住房补贴,全勤奖,五险一金,加班补助"
音乐/艺术课老师,华音琴行,20-99人,3-6K,鄂州,鄂城区,经验不限,大专,培训/辅导机构,"全职,培训机构,线下教育,坐班",
艺术老师素描老师,蓝途教育咨询服务部,0-20人,4000-4500元/月,包头,昆都仑区,1-3年,本科,培训/辅导机构,"教师资格证,教师,美术,艺术,全职兼职均可","年终奖,节日福利,员工旅游,全勤奖"
艺术培训机构校长,星潮文化传媒有限公司,0-20人,10-11K,济宁,任城区,1-3年,学历不限,培训/辅导机构,"销售经验,校区运营,培训机构,校区运营经验,学前儿童/小学生,小学教育,学前教育","全勤奖,年终奖"
艺术涂料施工员,德邦漆业,0-20人,8-13K,沈阳,大东区,经验不限,学历不限,装修装饰,"五险,包吃,包住,餐补,交通补助,绩效奖金,全勤奖,工龄奖",
艺术培训机构校长,弘晋书院,0-20人,4-8K,宜春,袁州区,3-5年,本科,培训/辅导机构,"培训机构,中学生,学前儿童/小学生,成人/通用,教师资格证,校区运营经验,大型教育机构经验,营销/管理类背景,销售经验,市场眼光好,运营理念新","住房补贴,免费工装,底薪加提成,全勤奖,工龄奖,通讯补贴,绩效奖金"
艺术漆网络销售,宜绣无缝墙布,20-99人,6-7K,绍兴,,经验不限,学历不限,批发/零售,微信营销,"生日福利,有无线网,底薪加提成,保底工资,绩效奖金"
艺术机构前台老师,大冶市星海琴行,20-99人,2-6K,黄石,大冶市,经验不限,学历不限,培训/辅导机构,"教育机构前台,全职,教育培训,琴行,钢琴,乐器","全勤奖,股票期权,节日福利"
高薪诚聘艺术校区园长,思拓教育,20-99人,7-12K,合肥,长丰县,经验不限,大专,培训/辅导机构,"培训机构,学前儿童/小学生,团队管理经验,幼儿教育","节日福利,带薪年假,定期体检,通讯补贴,零食下午茶,股票期权,交通补助,五险,全勤奖,员工旅游"
墙面艺术工艺学徒,墙小艺,0-20人,4-8K,深圳,光明区,经验不限,学历不限,装修装饰,"加班费,八小时工作制,夜班补助,免费培训,免费工装,弹性工作制,漆工,全职","年终奖,生日福利,餐补,五险一金,底薪加提成,节日福利,绩效奖金,保底工资,意外险"
书法、美术等艺术老师,高青众益翰思学生托管,0-20人,5-6K,淄博,高青县,1-3年,大专,培训/辅导机构,"全职,兼职,培训机构,线下教育,不坐班,教师,教学管理,课程销售,一对一教学,小班教学（3-25人）,学前儿童/小学生,中学生,儿童画,素描,大型教育机构经验,讲义/教纲编写能力,学员考试通过率高",
6000底薪 艺术品销售,艺见钟情,20-99人,6-11K,成都,锦江区,1年以内,学历不限,工艺品/收藏品,"网络营销经验,客户关系维护","五险一金,全勤奖,带薪年假,员工旅游,节日福利,零食下午茶"
舞蹈艺术中心合伙人,甘肃普雷浩斯文化娱乐,0-20人,15-16K,天水,,3-5年,本科,文化艺术/娱乐,"股权投资或二级市场投资职位,成长型投资",
少儿艺术培训校长,东隅昂立,100-499人,8-10K,常州,天宁区,1-3年,大专,培训/辅导机构,"培训机构,学前儿童/小学生,校区运营经验,营销/管理类背景,销售经验","底薪加提成,包吃,子女报班优惠,员工旅游,年终奖,通讯补贴,工龄奖,餐补,团建聚餐,五险一金,定期体检,节日福利"
艺术涂料招商经理,拉斐尔,20-99人,5-10K·13薪,上海,浦东新区,1-3年,大专,化工,",代理商/经销商招募,可适应频繁出差,较强的商务谈判能力,渠道运营管理,企业服务,具有渠道运营管理经验",
少儿艺术培训校长,丰博课外教育培训,100-499人,8-13K,昌吉回族自治州,昌吉市,3-5年,本科,培训/辅导机构,"培训机构,学前儿童/小学生,教师资格证,团队管理经验,校区运营经验,大型教育机构经验,销售经验,独当一面,艺术类培训,运营经验","五险一金,年终奖,加班补助,全勤奖"
艺术培训学校校长,洪江市星空艺术培...,100-499人,3-8K,怀化,洪江市,经验不限,大专,培训/辅导机构,"教师资格证,校区运营,培训机构,学前儿童/小学生,小学教育","员工旅游,通讯补贴,年终奖,餐补,加班补助,节日福利,全勤奖"
艺术文化推广专员,成星文化,0-20人,5-10K,东莞,,1年以内,大专,培训/辅导机构,"活动策划,网络营销,市场推广",
艺术设计教研组组长,雷镀教育,20-99人,10-15K,南京,江宁区,3-5年,本科,培训/辅导机构,"公立学校,私立学校,培训机构,线下教育,大学/大专生,熟练使用办公软件,教育工作经验,大型教育机构经验","通讯补贴,定期体检,带薪年假,免费班车,五险一金,餐补,交通补助,节日福利"
钢琴艺术全科类老师,湖北四象文化传媒,0-20人,3-6K,荆州,沙市区,1年以内,大专,文化艺术/娱乐,"全职,培训机构,线下教育,坐班,一对一教学,小班教学（3-25人）,中学生,成人,学前儿童/小学生,器乐培训,艺考培训,考级课程,古筝,吉他,钢琴,中央音乐学院考级,英皇考级,中国音乐学院考级,音乐教学经验,教育学专业背景,音乐类专业背景,销售经验,乐器十级证书,教师资格证,普通话水平测试等级证书,二级甲等,小学,幼儿园,高中","交通补助,保底工资,通讯补贴,年终奖,员工旅游,生日福利,加班补助,底薪加提成,带薪年假,包住,绩效奖金"
艺术内容产品经理（AIGC）,阅读兽,0-20人,8-10K·13薪,北京,朝阳区,在校/应届,本科,社交网络与媒体,"内容生产运营,艺术,日语,英语","团建聚餐,设备补贴,节日福利,交通补助,定期体检,底薪加提成,带薪年假,绩效奖金,年终奖,保底工资,五险一金"
急聘高端艺术品顾问,郑州同心致远文化发展,20-99人,6-11K,郑州,中原区,1年以内,大专,工艺品/收藏品,"无经验要求,电话销售经验,网络营销经验,个人（To C）,电话销售,网络销售","补充医疗保险,交通补助,生日福利,绩效奖金,住房补贴,团建聚餐,带薪年假,通讯补贴,加班补助,工龄奖,保底工资,全勤奖,节假日加班费,零食下午茶,底薪加提成,法定节假日三薪,餐补,年终奖,节日福利,五险一金"
中级场景艺术家,武汉预言时代,100-499人,6-10K·13薪,武汉,洪山区,1-3年,大专,游戏,"仙侠风,写实,Q版","团建聚餐,全勤奖,节日福利,绩效奖金,年终奖,工龄奖,餐补,员工旅游,五险一金,零食下午茶,加班补助,定期体检,带薪年假"
各类艺术教师,颂雅艺术,0-20人,5-10K,镇江,京口区,经验不限,大专,培训/辅导机构,"音乐教育,幼教,钢琴教育",
嘉纳招聘油漆工,嘉纳,0-20人,7-11K,重庆,渝北区,3-5年,初中及以下,装修装饰,"包住,交通补助,年终奖,年底双薪","五险一金,交通补助,年终奖,员工旅游,带薪年假"
艺术指导师,巴洛克教育咨询,0-20人,3-6K,中山,小榄镇,经验不限,大专,培训/辅导机构,"美术教育,幼教,助教",
艺术漆导购,漳州豪玛贸易有限公司,0-20人,3-8K,漳州,龙文区,经验不限,学历不限,装修装饰,五险,
专升本艺术概论老师,新东方教育科技集团,10000人以上,6-10K,哈尔滨,南岗区,1-3年,本科,培训/辅导机构,"兼职,培训机构,线下教育","定期体检,节日福利,五险一金,团建聚餐,带薪年假,工龄奖,零食下午茶,全勤奖,生日福利,绩效奖金,员工旅游,底薪加提成,保底工资"
艺术全职老师,寰中音乐,20-99人,2-5K,郴州,北湖区,经验不限,学历不限,培训/辅导机构,"教师,艺术,音乐","包吃,全勤奖,年终奖"
招聘东莞艺术家教老师,旭日教育,0-20人,2-3K,东莞,南城街道,经验不限,大专,培训/辅导机构,"线下授课,一对一授课,艺术,音乐,国学,器乐,声乐,托福","带薪年假,保底工资,绩效奖金,年终奖,五险一金"
艺术涂料色彩设计师,世格设计,0-20人,3-6K,大连,中山区,经验不限,本科,装修装饰,"装修设计,色彩搭配,业务沟通",
艺术展运营执行专员,沈阳天思广告有限...,20-99人,3-6K,大连,中山区,1年以内,大专,广告/公关/会展,艺术/文化展,"股票期权,零食下午茶,节日福利,年终奖,员工旅游,撸猫,加班补助,全勤奖"
艺术场馆运营实习生,垄上艺术,100-499人,100-150元/天,上海,徐汇区,,大专,广告/公关/会展,"活动运营,留学生优先,国内院校优先","全勤奖,五险一金,节日福利,员工旅游,零食下午茶"
艺术团创业合伙人,天眼云端大数据,20-99人,20-21K,天津,南开区,1-3年,大专,大数据,"民非社团,公益协会,培训机构",
艺术涂料开发学徒,宏乔科技,20-99人,4-8K,江门,江海区,经验不限,学历不限,环保,"油性涂料,水性涂料","年终奖,团建聚餐,全勤奖,工龄奖,节日福利,意外险,生日福利,五险一金,绩效奖金,员工旅游,底薪加提成"
作品集艺术/音乐导师,洛素,500-999人,10-15K,杭州,西湖区,1-3年,本科,培训/辅导机构,"全职兼职均可,线下教育,坐班,不坐班","团建聚餐,带薪年假,全勤奖,绩效奖金,五险一金"
艺术留学咨询顾问,柠檬小语种,20-99人,8-12K,福州,鼓楼区,1-3年,本科,培训/辅导机构,"全职工作,获客招生,英国,日韩,美国","五险一金,交通补助,住房补贴,员工旅游"
艺术涂料施工员,福建白宇宣贸易,0-20人,4-9K,漳州,芗城区,1-3年,学历不限,建筑材料,"总包施工员,分包施工员,民用建筑,商用建筑,工业建筑,内装","绩效奖金,免费工装,底薪加提成,保底工资,交通补助,餐补"
艺术学校教务管理老师（开发区）,华粹文化艺术,20-99人,4-6K,廊坊,广阳区,经验不限,中专/中技,培训/辅导机构,"销售经验,班主任,中学生,培训机构,线下教育,助教,学前儿童/小学生,小学教育,初中教育,学前教育,线下授课,教育咨询师","加班补助,带薪年假,全勤奖,年终奖,员工旅游"
欧亚达嘉宝莉艺术涂料急招店长,襄阳市襄州区嘉艺...,0-20人,6-11K,襄阳,襄州区,3-5年,中专/中技,建筑材料,"家居建材,管理经验,销售经验,家居建材,涂料",意外险
日本艺术留学作品集老师,北服国际,0-20人,8-12K,北京,海淀区,1-3年,本科,学校/学历教育,"全职,公立学校,线下教育,坐班,一对一教学,小班教学（3-25人）,留学与语言培训类,职业与技能培训类,日语,创意/设计,留学背景,艺术类专业背景",
艺术微喷打印机打印操作员,小黄瓜,0-20人,3-4K,宣城,,1-3年,高中,回收/维修,"图文广告,广告设计/后期,PS,美术设计专业",
广告平面艺术视觉3D设计实习,九龙摄影广告图文,0-20人,60-80元/天,九江,浔阳区,,大专,广告/公关/会展,"CDR,提供实习证明,不接受居家办公,PS,广告/设计公司,海报传单设计,AI,广告设计,VI设计","工龄奖,宿舍有空调,带薪年假,五险一金,包吃,保底工资,加班补助,全勤奖,包住,绩效奖金,节日福利"
艺术总监 创意总监,艺位传诚,0-20人,15-25K·13薪,北京,朝阳区,5-10年,本科,音乐/视频/阅读,"交互体验设计,平面设计,手绘,3D设计,视觉传达,跨界,品牌传播,艺术史","餐补,五险一金,带薪年假,加班补助,通讯补贴,节日福利,年终奖,员工旅游,交通补助,定期体检"
播音与主持艺术教师,花呈教育,0-20人,7-12K,广州,,经验不限,本科,培训/辅导机构,"线下教育,坐班,艺考,编排成品剧目,表演教学经验,表演/播音主持相关专业背景,全职兼职均可",
艺术培训学校校长,桐心音乐,20-99人,8-13K,株洲,天元区,3-5年,大专,培训/辅导机构,"校长,教务行政,幼儿园园长,素质教育,校区运营,门店运营,学科带头人",五险一金
艺术培训机构校长,朵儿托管中心,20-99人,3-6K,武威,凉州区,3-5年,本科,培训/辅导机构,"培训机构,学前儿童/小学生,校长任职资格培训合格证书,教师资格证,团队管理经验,校区运营经验,营销/管理类背景","绩效奖金,保底工资,意外险,团建聚餐,加班补助,节日福利,底薪加提成,有无线网,生日福利,员工旅游,带薪年假,全勤奖"
